source,target
12,345
12,429
12,450
12,513
13,17
13,38
13,49
13,51
13,58
13,75
13,80
13,106
13,116
13,136
13,144
13,145
13,172
13,199
13,207
13,215
13,227
13,231
13,234
13,295
13,525
14,63
14,311
14,323
14,401
14,415
14,460
15,18
15,55
15,95
15,105
15,133
16,60
16,67
16,94
16,108
16,124
16,166
16,449
17,41
17,78
17,88
17,97
17,137
17,143
17,206
17,241
17,303
17,337
18,31
18,89
18,165
18,179
18,190
18,287
18,358
18,405
18,455
18,511
19,52
19,72
19,114
19,145
19,263
19,339
19,340
19,397
19,458
19,502
20,37
20,40
20,46
20,59
20,73
20,110
20,119
20,157
20,172
20,177
20,211
20,233
20,248
20,310
20,413
20,416
21,44
21,51
21,64
21,68
21,80
21,141
21,148
21,168
21,186
21,202
21,214
21,242
21,244
21,256
21,264
21,274
21,294
21,329
21,364
21,411
21,457
21,470
21,472
21,481
23,347
24,26
24,79
24,107
24,127
24,151
24,237
24,257
24,322
24,336
24,465
24,473
24,487
25,147
25,153
25,191
25,208
25,430
25,467
26,40
26,82
26,101
26,123
26,176
26,216
26,219
26,294
26,362
26,474
26,509
26,519
26,537
28,32
28,66
28,138
28,218
28,245
29,45
29,47
29,74
29,86
29,101
29,173
29,187
29,189
29,255
29,375
29,410
30,77
30,84
30,118
30,151
30,161
30,193
30,212
30,235
30,236
30,291
30,539
31,35
31,71
31,130
31,141
31,158
31,183
31,194
31,317
31,333
31,461
32,39
32,45
32,134
32,142
32,155
32,228
32,240
32,293
32,344
32,409
33,64
33,69
33,169
33,201
33,356
33,378
34,39
34,136
34,224
34,391
34,537
35,47
35,48
35,365
35,483
36,86
36,346
37,57
37,160
37,197
37,474
37,509
38,41
39,324
39,431
40,55
40,56
40,77
40,79
40,153
40,206
40,250
40,304
40,411
40,416
40,431
40,517
41,90
41,113
41,395
42,113
42,243
42,454
43,252
45,249
45,333
45,382
45,442
45,464
45,506
46,148
46,231
47,81
47,92
47,297
47,308
47,492
48,93
48,109
48,328
48,406
49,128
49,207
49,222
49,384
50,125
50,341
50,442
51,99
51,125
51,366
51,510
52,53
52,71
52,83
52,94
52,100
52,121
52,152
52,258
52,422
52,447
52,461
52,494
52,507
52,538
52,543
53,135
53,160
53,196
53,284
53,325
53,388
53,478
53,487
53,532
54,260
54,300
54,342
55,97
55,118
55,254
55,376
55,392
55,478
55,532
56,73
56,193
56,225
56,546
57,123
57,209
57,321
57,345
58,76
58,102
58,475
59,67
60,305
60,435
61,65
61,163
61,296
61,311
61,316
61,492
62,63
62,164
63,132
63,440
63,476
64,103
64,126
64,143
64,202
64,214
64,523
65,170
65,315
65,393
66,276
66,523
68,138
68,249
68,334
68,415
68,479
68,521
68,528
69,205
69,259
69,414
70,114
70,152
70,274
70,356
71,286
71,298
71,312
72,484
73,183
73,479
74,139
75,349
75,500
76,159
76,273
77,162
79,262
79,275
79,318
79,428
80,98
80,203
80,261
80,313
80,364
80,459
82,106
82,111
82,117
82,128
82,203
82,277
82,283
82,317
82,408
82,459
82,540
83,99
83,107
83,348
84,85
84,223
84,362
84,469
86,102
86,131
86,139
86,175
86,198
86,237
86,268
86,320
86,381
86,504
87,122
87,182
87,367
87,498
87,530
88,270
89,414
90,95
90,359
91,322
91,405
92,398
93,103
93,476
94,130
94,170
94,175
94,267
94,329
95,96
95,330
95,395
95,443
97,115
97,182
97,307
97,427
98,112
98,230
99,105
100,135
100,256
102,185
103,122
103,156
103,158
103,251
103,282
103,304
103,331
103,387
103,447
103,466
104,132
104,137
104,149
104,198
104,236
104,331
104,397
104,409
104,417
104,435
104,490
104,529
105,289
106,169
106,348
107,117
107,238
107,247
107,299
107,306
107,522
107,542
108,215
108,243
108,275
108,340
108,351
108,383
108,402
108,438
109,178
109,530
110,408
112,171
112,184
112,210
112,234
112,240
112,261
113,233
113,295
114,272
114,505
116,208
116,436
117,353
117,368
118,441
119,134
119,222
119,288
121,140
121,154
121,178
121,225
121,285
122,337
122,338
122,541
123,176
123,210
124,146
124,293
124,314
125,247
125,263
125,363
126,146
126,219
126,384
127,220
127,285
127,390
128,434
129,196
129,279
129,400
130,181
130,439
131,154
131,269
131,446
132,343
132,443
133,201
133,471
133,535
134,140
134,359
134,424
135,174
135,306
135,412
135,423
135,477
136,142
136,187
136,366
137,218
137,291
138,239
138,282
138,471
138,490
139,162
139,217
139,336
139,354
139,449
140,226
140,253
142,220
142,313
142,354
143,199
144,241
144,380
145,150
145,164
145,238
145,545
146,276
146,277
146,332
146,433
147,482
148,320
149,512
150,229
151,374
153,221
153,346
153,498
154,382
155,283
155,361
157,273
159,205
160,389
161,200
162,209
162,351
163,192
164,180
164,548
167,387
169,211
169,268
169,424
170,281
170,316
170,473
171,303
171,446
172,180
175,212
175,227
175,252
175,369
178,260
179,324
183,334
186,422
186,508
187,213
187,418
187,543
190,217
190,335
190,521
190,524
191,451
193,445
195,335
195,468
198,455
200,383
200,425
202,213
202,290
202,314
202,375
202,398
202,423
202,549
203,292
204,360
204,380
204,404
206,279
207,266
209,310
209,353
209,389
213,244
213,517
214,441
215,246
217,319
219,278
219,467
219,486
220,418
221,253
222,480
223,239
224,419
225,527
226,230
227,319
227,386
227,501
228,292
228,308
228,363
228,426
228,477
229,272
230,475
230,526
232,257
232,267
232,280
232,360
232,393
234,350
234,497
235,299
235,515
235,536
237,464
237,511
241,284
242,425
244,326
244,327
248,280
248,440
249,259
250,318
251,255
251,377
251,406
251,420
252,546
253,301
253,321
256,401
256,493
258,370
259,302
259,368
260,269
260,289
260,453
260,469
261,357
263,266
264,470
265,503
270,309
270,392
270,396
274,381
274,385
274,396
276,456
281,399
281,402
281,417
281,501
281,525
281,548
284,412
284,480
289,486
291,323
291,506
292,533
293,367
293,421
294,379
294,489
294,491
294,512
295,355
295,507
296,301
296,328
296,394
296,437
297,350
297,358
297,496
302,373
302,519
303,390
307,373
308,400
311,493
316,456
316,495
316,536
316,544
317,463
318,499
320,347
320,355
321,434
323,326
327,357
327,432
327,496
328,430
330,369
330,370
330,539
332,407
332,453
332,516
333,371
333,491
335,454
336,388
336,419
336,438
339,466
340,372
342,444
347,463
348,352
348,535
350,361
352,404
358,372
358,420
358,504
358,522
360,394
360,520
361,468
363,481
365,374
365,458
365,497
365,534
371,513
382,413
389,489
389,505
397,436
398,451
401,407
408,544
409,452
409,508
433,448
437,531
443,529
446,483
474,488
480,531
484,520
496,538
512,527
