,source,target
765,172,194
766,172,245
767,172,452
768,172,456
769,173,307
770,173,320
771,173,420
772,173,547
773,174,192
774,174,291
775,174,401
776,174,524
777,175,442
778,175,460
779,175,529
780,175,534
781,175,547
782,177,365
783,177,445
784,178,348
785,178,420
786,179,342
787,179,429
788,180,382
789,180,425
790,180,439
791,181,248
792,181,265
793,181,430
794,181,534
795,182,187
796,182,329
797,182,345
798,183,190
799,183,452
800,183,545
801,184,245
802,184,262
803,184,382
804,184,412
805,184,457
806,185,195
807,185,288
808,185,334
809,186,482
810,186,547
811,187,415
812,187,431
813,188,408
814,188,470
815,189,193
816,189,384
817,189,503
818,190,403
819,190,407
820,190,455
821,190,492
822,190,512
823,191,505
824,192,259
825,192,322
826,192,361
827,192,465
828,193,313
829,193,487
830,194,236
831,194,439
832,195,344
833,195,425
834,195,438
835,195,480
836,195,538
837,196,209
838,196,310
839,196,424
840,196,540
841,197,379
842,197,436
843,197,490
844,197,541
845,198,292
846,198,343
847,198,367
848,198,378
849,199,309
850,199,368
851,199,528
852,200,322
853,200,469
854,200,509
855,200,517
856,200,535
857,201,211
858,201,359
859,201,443
860,203,332
861,203,339
862,203,384
863,203,416
864,203,428
865,203,511
866,204,339
867,204,548
868,205,270
869,205,364
870,205,416
871,206,335
872,206,434
873,206,445
874,206,446
875,207,430
876,208,276
877,208,347
878,208,447
879,209,341
880,209,381
881,209,415
882,209,439
883,209,464
884,209,508
885,210,313
886,210,340
887,210,463
888,210,465
889,210,468
890,210,524
891,211,212
892,211,287
893,211,303
894,211,370
895,211,422
896,211,454
897,212,236
898,212,238
899,212,263
900,212,268
901,212,293
902,213,225
903,213,258
904,213,402
905,213,469
906,213,527
907,214,256
908,214,436
909,214,474
910,215,243
911,215,307
912,215,366
913,215,437
914,216,503
915,217,249
916,217,257
917,217,538
918,218,258
919,218,466
920,218,493
921,218,507
922,219,282
923,219,311
924,219,375
925,219,458
926,219,463
927,220,231
928,220,245
929,220,269
930,220,294
931,220,300
932,221,459
933,221,512
934,222,341
935,222,391
936,222,437
937,223,283
938,223,497
939,224,473
940,224,503
941,225,243
942,225,406
943,225,434
944,225,492
945,225,499
946,225,517
947,226,275
948,227,283
949,227,332
950,227,475
951,228,240
952,228,481
953,229,246
954,229,358
955,229,536
956,230,243
957,232,246
958,232,277
959,232,376
960,232,546
961,233,486
962,234,286
963,234,417
964,235,268
965,235,524
966,236,377
967,236,393
968,236,394
969,236,412
970,236,422
971,236,500
972,236,502
973,237,295
974,237,361
975,237,547
976,238,345
977,238,372
978,238,433
979,238,474
980,238,484
981,239,249
982,241,316
983,241,331
984,242,276
985,242,381
986,243,252
987,243,343
988,243,483
989,244,330
990,244,449
991,244,548
992,245,369
993,245,413
994,246,264
995,246,481
996,247,282
997,247,325
998,247,466
999,248,354
1000,249,251
1001,249,446
1002,250,260
1003,250,294
1004,250,295
1005,250,309
1006,251,259
1007,251,388
1008,251,434
1009,251,540
1010,252,347
1011,252,398
1012,252,503
1013,253,523
1014,254,287
1015,254,349
1016,254,431
1017,254,464
1018,255,270
1019,255,283
1020,255,315
1021,256,469
1022,256,522
1023,257,316
1024,257,347
1025,257,457
1026,257,479
1027,258,302
1028,258,388
1029,259,353
1030,259,437
1031,259,528
1032,260,266
1033,260,338
1034,260,365
1035,261,323
1036,263,294
1037,263,299
1038,263,335
1039,263,465
1040,264,286
1041,264,434
1042,264,458
1043,264,477
1044,265,436
1045,266,362
1046,266,419
1047,266,471
1048,267,328
1049,267,414
1050,267,447
1051,268,312
1052,268,328
1053,268,331
1054,268,356
1055,268,370
1056,268,449
1057,268,475
1058,269,435
1059,269,444
1060,270,324
1061,270,328
1062,270,459
1063,270,469
1064,270,536
1065,270,542
1066,271,318
1067,271,376
1068,271,453
1069,271,546
1070,273,282
1071,273,348
1072,273,383
1073,273,544
1074,274,547
1075,275,302
1076,275,335
1077,275,399
1078,277,319
1079,277,340
1080,277,479
1081,277,538
1082,279,280
1083,280,405
1084,280,480
1085,280,543
1086,281,462
1087,281,509
1088,282,370
1089,282,418
1090,282,512
1091,282,530
1092,283,361
1093,283,444
1094,283,475
1095,283,485
1096,284,321
1097,284,423
1098,284,530
1099,285,290
1100,285,329
1101,285,336
1102,285,367
1103,285,408
1104,285,455
1105,285,457
1106,285,514
1107,286,307
1108,286,315
1109,286,319
1110,286,334
1111,286,412
1112,287,373
1113,287,375
1114,287,381
1115,287,472
1116,287,521
1117,287,535
1118,288,304
1119,288,361
1120,288,416
1121,288,467
1122,289,297
1123,289,308
1124,289,410
1125,290,310
1126,290,318
1127,290,335
1128,290,488
1129,290,504
1130,290,507
1131,291,381
1132,291,412
1133,291,471
1134,291,505
1135,292,450
1136,292,480
1137,293,341
1138,293,381
1139,293,442
1140,293,446
1141,293,496
1142,293,520
1143,293,537
1144,295,313
1145,295,362
1146,295,451
1147,295,541
1148,296,349
1149,296,448
1150,296,477
1151,296,493
1152,297,421
1153,297,461
1154,297,482
1155,298,396
1156,298,472
1157,300,333
1158,300,344
1159,300,452
1160,300,523
1161,301,468
1162,302,491
1163,302,522
1164,303,330
1165,304,322
1166,304,378
1167,305,310
1168,305,319
1169,305,323
1170,305,390
1171,306,405
1172,306,406
1173,306,419
1174,307,395
1175,307,466
1176,307,515
1177,308,342
1178,308,405
1179,308,436
1180,308,505
1181,309,427
1182,309,546
1183,310,544
1184,311,380
1185,311,385
1186,312,336
1187,312,476
1188,312,487
1189,312,512
1190,312,517
1191,313,445
1192,314,338
1193,314,366
1194,314,429
1195,314,480
1196,314,514
1197,315,339
1198,315,437
1199,315,491
1200,315,497
1201,316,351
1202,316,369
1203,317,333
1204,317,404
1205,317,527
1206,318,452
1207,319,380
1208,319,389
1209,319,527
1210,320,414
1211,320,478
1212,320,507
1213,321,389
1214,322,323
1215,322,421
1216,324,433
1217,324,452
1218,325,373
1219,325,396
1220,325,478
1221,326,411
1222,326,447
1223,326,494
1224,327,349
1225,327,445
1226,327,505
1227,327,524
1228,328,369
1229,328,403
1230,328,472
1231,329,532
1232,330,414
1233,331,379
1234,331,531
1235,332,401
1236,332,435
1237,333,399
1238,333,482
1239,334,447
1240,335,355
1241,335,446
1242,335,470
1243,335,481
1244,335,485
1245,335,508
1246,336,361
1247,336,439
1248,337,471
1249,337,477
1250,338,367
1251,338,508
1252,338,547
1253,339,513
1254,340,403
1255,341,459
1256,341,523
1257,342,446
1258,342,450
1259,342,451
1260,343,419
1261,343,521
1262,344,369
1263,344,519
1264,345,486
1265,345,509
1266,346,367
1267,346,369
1268,346,472
1269,346,479
1270,346,512
1271,347,360
1272,347,406
1273,348,440
1274,348,463
1275,348,548
1276,349,494
1277,350,430
1278,350,505
1279,350,515
1280,351,364
1281,351,432
1282,351,522
1283,352,389
1284,352,509
1285,353,383
1286,353,401
1287,353,492
1288,353,508
1289,353,524
1290,354,465
1291,354,477
1292,355,413
1293,355,435
1294,355,522
1295,355,524
1296,356,479
1297,356,536
1298,357,434
1299,358,360
1300,358,486
1301,359,496
1302,359,499
1303,359,543
1304,360,384
1305,361,403
1306,361,464
1307,361,511
1308,361,528
1309,362,463
1310,362,468
1311,362,511
1312,362,540
1313,364,470
1314,365,531
1315,365,549
1316,366,427
1317,366,524
1318,368,380
1319,368,473
1320,369,404
1321,369,419
1322,369,444
1323,370,530
1324,371,478
1325,371,527
1326,373,380
1327,373,479
1328,373,518
1329,374,382
1330,374,410
1331,374,418
1332,374,424
1333,374,439
1334,374,441
1335,374,444
1336,374,513
1337,375,527
1338,375,549
1339,376,382
1340,376,403
1341,376,422
1342,376,511
1343,377,380
1344,377,506
1345,377,527
1346,379,472
1347,379,540
1348,380,408
1349,381,385
1350,381,404
1351,381,466
1352,382,416
1353,383,398
1354,383,444
1355,383,531
1356,384,456
1357,385,417
1358,386,462
1359,386,485
1360,386,501
1361,387,397
1362,387,484
1363,388,434
1364,388,471
1365,388,479
1366,389,409
1367,390,431
1368,390,542
1369,391,485
1370,391,535
1371,392,463
1372,393,493
1373,394,542
1374,394,545
1375,395,514
1376,395,544
1377,396,493
1378,398,509
1379,400,436
1380,400,443
1381,401,423
1382,401,542
1383,402,472
1384,402,544
1385,404,415
1386,404,529
1387,405,482
1388,406,415
1389,406,431
1390,407,509
1391,409,442
1392,409,542
1393,410,450
1394,410,488
1395,411,421
1396,411,437
1397,411,440
1398,411,464
1399,411,537
1400,412,537
1401,413,428
1402,414,419
1403,415,428
1404,416,439
1405,416,486
1406,416,500
1407,417,516
1408,418,510
1409,418,513
1410,419,518
1411,421,467
1412,422,499
1413,423,426
1414,423,470
1415,424,531
1416,425,444
1417,426,525
1418,427,444
1419,427,514
1420,428,445
1421,428,466
1422,428,473
1423,428,486
1424,428,533
1425,429,520
1426,430,475
1427,432,438
1428,432,546
1429,433,454
1430,434,535
1431,434,537
1432,436,522
1433,439,513
1434,439,525
1435,441,486
1436,442,512
1437,444,457
1438,444,494
1439,445,448
1440,445,530
1441,446,540
1442,447,477
1443,447,523
1444,447,547
1445,448,460
1446,448,463
1447,451,534
1448,454,482
1449,454,511
1450,455,482
1451,455,540
1452,458,478
1453,458,487
1454,458,532
1455,461,507
1456,461,544
1457,463,499
1458,464,537
1459,465,486
1460,466,472
1461,466,474
1462,466,479
1463,466,513
1464,472,475
1465,474,542
1466,474,543
1467,475,494
1468,477,519
1469,478,490
1470,478,527
1471,480,537
1472,482,515
1473,488,501
1474,488,530
1475,490,529
1476,491,519
1477,493,536
1478,495,512
1479,498,516
1480,504,507
1481,509,538
1482,512,543
1483,515,542
1484,516,543
1485,520,542
1486,521,529
1487,523,548
1488,525,529
