,from,to,similarity
80,56,51,0.9323938199059414
81,58,54,0.9417645335842466
82,59,53,0.7633794943368617
83,60,57,0.8105842459701749
84,65,58,0.9048374180359647
85,66,55,0.9139311852712185
86,73,63,0.9512294245007032
87,74,58,0.8780954309205778
88,75,65,0.9801986733067453
89,75,58,0.9417645335842199
90,75,74,0.9323938199059678
91,76,58,0.9048374180359261
92,76,52,0.8869204367171535
93,77,52,0.9048374180359519
94,78,63,0.9417645335842332
95,78,61,0.8958341352965542
96,79,69,0.8269591339433701
97,80,69,0.9704455335485139
98,81,80,0.9801986733067661
99,81,69,0.9323938199059546
100,81,79,0.8869204367171724
101,82,67,0.923116346386644
102,84,66,0.9607894391523104
103,84,55,0.8436648165963943
104,85,56,0.8693582353988053
105,85,70,0.8352702114112782
106,85,51,0.8105842459701806
107,86,52,0.9231163463866373
108,86,65,0.9048374180359647
109,86,58,0.9048374180359647
110,87,68,0.9323938199059546
111,87,72,0.7189237334319274
112,87,62,0.7046880897187074
113,89,53,0.9607894391523241
114,89,69,0.9417645335842533
115,89,80,0.9139311852712381
116,90,55,0.9048374180359712
117,91,63,0.9801986733067592
118,91,78,0.9607894391523308
119,91,73,0.9139311852712381
120,92,82,0.9801986733067592
121,92,67,0.9417645335842533
122,92,69,0.9323938199059479
123,93,57,0.9801986733067453
124,93,60,0.8780954309205591
125,94,90,0.9323938199059546
126,95,88,0.9704455335485208
127,96,95,0.9801986733067523
128,96,88,0.9704455335485002
129,97,74,0.9607894391523172
130,97,71,0.8958341352965288
131,97,91,0.8869204367171535
132,98,93,0.860707976425059
133,98,57,0.860707976425059
134,98,60,0.5945205479701967
135,99,96,0.9801986733067453
136,99,94,0.970445533548507
137,99,88,0.9512294245007099
138,106,84,0.5827482523739902
139,106,59,0.559898366565403
140,106,90,0.5325918010068921
141,107,105,0.7557837414557246
142,108,103,0.6976763260710216
143,110,77,0.8352702114112901
144,113,101,0.9323938199059414
145,114,101,0.7710515858035842
146,115,110,0.869358235398793
147,116,103,0.9417645335842199
148,117,105,0.5117085777865343
149,117,109,0.4771139155210436
150,118,105,0.7408182206816989
151,119,72,0.8269591339433524
152,119,83,0.7633794943368563
153,119,68,0.7482635675785712
154,121,101,0.9048374180359519
155,121,113,0.895834135296516
156,122,105,0.9323938199059281
157,122,118,0.8436648165963823
158,122,107,0.6907343306373319
159,124,120,0.9139311852712251
160,125,102,0.8607079764250651
161,125,107,0.8269591339433524
162,126,123,0.9704455335484933
163,127,126,0.9417645335842332
164,128,104,0.904837418035939
165,128,103,0.895834135296516
166,129,125,0.8869204367171535
167,129,102,0.7633794943368563
168,130,107,0.9323938199059414
169,130,102,0.8105842459701922
170,130,125,0.8025187979624566
171,131,117,0.8436648165963943
172,131,105,0.45840601130523606
173,132,128,0.990049833749163
174,132,104,0.9139311852712121
175,132,103,0.8352702114112545
176,133,83,0.8958341352965542
177,133,72,0.8780954309205529
178,133,123,0.8693582353988053
179,134,103,0.7482635675785605
180,134,83,0.7334469562242771
181,134,133,0.7117703227626073
182,135,130,0.7482635675785605
183,135,105,0.7408182206817305
184,135,102,0.6440364210831429
185,136,115,0.8607079764250285
186,136,100,0.8352702114112545
187,137,116,0.9801986733067592
188,137,103,0.9417645335842332
189,138,127,0.9801986733067314
190,138,70,0.9512294245007167
191,138,126,0.9231163463866242
192,139,112,0.970445533548507
193,140,120,0.9323938199059414
194,140,112,0.8869204367171661
195,141,139,0.8780954309205529
196,141,112,0.802518797962468
197,142,101,1.0
198,142,113,0.9323938199059414
199,142,121,0.9048374180359519
200,143,120,0.9512294245007302
201,143,124,0.9048374180359647
202,144,140,0.9417645335842599
203,144,120,0.9139311852712251
204,144,143,0.9048374180359647
205,145,141,0.9417645335842466
206,145,139,0.8780954309205529
207,146,123,0.9417645335842466
208,146,111,0.8693582353987807
209,146,126,0.8607079764250651
210,147,110,0.9512294245007167
211,147,111,0.8869204367171408
212,147,145,0.8780954309205529
213,148,136,0.9417645335842332
214,148,115,0.9139311852712121
215,148,110,0.7334469562242771
216,149,127,0.9231163463866373
217,149,138,0.9048374180359647
218,149,142,0.8958341352965288
